"","ENTIDAD","NOM_ENT","MUN","NOM_MUN","LOC","NOM_LOC","VPH_RADIO","VPH_TV","VPH_PC","VPH_TELEF","VPH_CEL","VPH_INTER","TOTHOG","VPH_SINTIC","VPH_SINCINT","VIVTOT","Porcentaje_Internet","Porcentaje_Celular","Porcentaje_TV","Porcentaje_PC","Porcentaje_SinInternet_PC","Porcentaje_SinTic","Categorias"
"146",30,"Veracruz de Ignacio de la Llave",146,"Sochiapa",0,"Total del Municipio","697","818","88","56","772","100","941","24","799",1172,8.53242320819113,65.8703071672355,69.7952218430034,7.50853242320819,68.1740614334471,2.04778156996587,"Muy bajo"
"147",30,"Veracruz de Ignacio de la Llave",147,"Soledad Atzompa",0,"Total del Municipio","2034","4226","136","332","3818","542","5595","557","4955",6352,8.53274559193955,60.1070528967254,66.5302267002519,2.14105793450882,78.0069269521411,8.76889168765743,"Muy bajo"
"148",30,"Veracruz de Ignacio de la Llave",148,"Soledad de Doblado",0,"Total del Municipio","5422","7634","1169","1414","6441","2291","8505","336","5957",10573,21.6684006431476,60.9193228033671,72.2027806677386,11.0564645795895,56.3416248935969,3.17790598694789,"medio"
"149",30,"Veracruz de Ignacio de la Llave",149,"Soteapan",0,"Total del Municipio","2792","6216","321","314","5748","1774","9362","1552","7457",11175,15.8747203579418,51.4362416107383,55.6241610738255,2.87248322147651,66.7293064876958,13.8881431767338,"bajo"
"150",30,"Veracruz de Ignacio de la Llave",150,"Tamalín",0,"Total del Municipio","1904","2865","413","467","2842","708","3524","192","2673",4145,17.08082026538,68.5645355850422,69.1194209891435,9.96381182147165,64.4873341375151,4.63208685162847,"bajo"
"151",30,"Veracruz de Ignacio de la Llave",151,"Tamiahua",0,"Total del Municipio","4443","6565","721","1159","5248","809","7430","354","6255",9368,8.63578138343296,56.0204953031597,70.0789923142613,7.69641332194705,66.7698548249359,3.77882152006832,"Muy bajo"
"152",30,"Veracruz de Ignacio de la Llave",152,"Tampico Alto",0,"Total del Municipio","1896","3311","350","338","3306","363","3820","148","3295",5085,7.13864306784661,65.0147492625369,65.1130776794494,6.88298918387414,64.7984267453294,2.91052114060964,"Muy bajo"
"153",30,"Veracruz de Ignacio de la Llave",153,"Tancoco",0,"Total del Municipio","1160","1592","197","179","1528","235","1831","77","1511",2292,10.2530541012216,66.6666666666667,69.4589877835951,8.59511343804538,65.9249563699825,3.35951134380454,"Muy bajo"
"154",30,"Veracruz de Ignacio de la Llave",154,"Tantima",0,"Total del Municipio","2012","2877","259","304","2692","408","3688","281","3165",4383,9.30869267624914,61.4191193246635,65.6399726214921,5.90919461556012,72.2108145106092,6.41113392653434,"Muy bajo"
"155",30,"Veracruz de Ignacio de la Llave",155,"Tantoyuca",0,"Total del Municipio","18255","20588","3532","3057","21292","4126","27305","1857","21931",31722,13.0067461068028,67.1206103019986,64.9013303070424,11.1342286110586,69.1349851837841,5.85398146396822,"bajo"
"156",30,"Veracruz de Ignacio de la Llave",156,"Tatatila",0,"Total del Municipio","856","1121","74","163","853","466","1472","163","990",1993,23.3818364274962,42.7997992975414,56.2468640240843,3.71299548419468,49.6738585047667,8.17862518815855,"medio"
"157",30,"Veracruz de Ignacio de la Llave",157,"Castillo de Teayo",0,"Total del Municipio","3091","4719","651","1375","4061","1164","5623","311","4198",6347,18.3393729320939,63.9829840869702,74.3500866551127,10.2568142429494,66.1414841657476,4.89995273357492,"bajo"
"158",30,"Veracruz de Ignacio de la Llave",158,"Tecolutla",0,"Total del Municipio","4247","6681","885","1480","5921","1675","7569","268","5568",11333,14.7798464660725,52.2456542839495,58.9517338745257,7.80905320744728,49.1308567899056,2.3647754345716,"bajo"
"159",30,"Veracruz de Ignacio de la Llave",159,"Tehuipango",0,"Total del Municipio","1859","3342","114","66","3725","1356","5693","1032","4293",6694,20.256946519271,55.6468479235136,49.925306244398,1.70301762772632,64.1320585599044,15.4167911562593,"medio"
"160",30,"Veracruz de Ignacio de la Llave",160,"Álamo Temapache",0,"Total del Municipio","19806","26318","4126","6639","23073","6629","30023","999","21778",35222,18.8206234739651,65.5073533586963,74.7203452387712,11.7142694906592,61.8306740105616,2.83629549713247,"bajo"
"161",30,"Veracruz de Ignacio de la Llave",161,"Tempoal",0,"Total del Municipio","6033","8044","1139","1802","7682","1412","10052","599","8220",11863,11.9025541599933,64.7559639214364,67.8074685998483,9.6012812947821,69.29107308438,5.04931298996881,"bajo"
"162",30,"Veracruz de Ignacio de la Llave",162,"Tenampa",0,"Total del Municipio","1090","1411","107","250","1006","341","1704","142","1340",2082,16.3784822286263,48.3189241114313,67.7713736791546,5.13928914505283,64.3611911623439,6.82036503362152,"bajo"
"163",30,"Veracruz de Ignacio de la Llave",163,"Tenochtitlán",0,"Total del Municipio","660","956","115","183","989","180","1298","98","1072",1672,10.7655502392345,59.1507177033493,57.177033492823,6.87799043062201,64.1148325358852,5.86124401913876,"Muy bajo"
"164",30,"Veracruz de Ignacio de la Llave",164,"Teocelo",0,"Total del Municipio","3871","4397","1319","1259","3928","1720","4900","111","2890",5983,28.7481196724051,65.652682600702,73.491559418352,22.0457964231991,48.3035266588668,1.85525656025405,"alto"
"165",30,"Veracruz de Ignacio de la Llave",165,"Tepatlaxco",0,"Total del Municipio","1610","1876","214","383","1338","716","2373","177","1600",2807,25.5076594228714,47.6665479159245,66.8329177057357,7.6237976487353,57.0003562522266,6.30566441040256,"medio"
"166",30,"Veracruz de Ignacio de la Llave",166,"Tepetlán",0,"Total del Municipio","2013","2505","176","313","1794","528","2797","94","2192",3698,14.2779881016766,48.512709572742,67.7393185505679,4.75932936722553,59.2752839372634,2.54191454840454,"bajo"
"167",30,"Veracruz de Ignacio de la Llave",167,"Tepetzintla",0,"Total del Municipio","2429","3687","391","467","3157","310","4216","192","3688",4916,6.30593978844589,64.2188771358828,75,7.95362082994304,75.020341741253,3.90561432058584,"Muy bajo"
"168",30,"Veracruz de Ignacio de la Llave",168,"Tequila",0,"Total del Municipio","2267","2514","252","82","2417","295","4104","626","3673",4641,6.35638870932989,52.0792932557639,54.169360051713,5.42986425339367,79.1424262012497,13.4884723120017,"Muy bajo"
"169",30,"Veracruz de Ignacio de la Llave",169,"José Azueta",0,"Total del Municipio","3499","6087","652","999","5756","1016","7302","399","6004",9500,10.6947368421053,60.5894736842105,64.0736842105263,6.86315789473684,63.2,4.2,"Muy bajo"
"170",30,"Veracruz de Ignacio de la Llave",170,"Texcatepec",0,"Total del Municipio","1683","1622","106","138","747","158","2846","593","2599",3640,4.34065934065934,20.521978021978,44.5604395604396,2.91208791208791,71.4010989010989,16.2912087912088,"Muy bajo"
"171",30,"Veracruz de Ignacio de la Llave",171,"Texhuacán",0,"Total del Municipio","857","1049","93","38","1123","67","1449","113","1326",1816,3.68942731277533,61.8392070484581,57.7643171806167,5.12114537444934,73.0176211453744,6.22246696035242,"Muy bajo"
"172",30,"Veracruz de Ignacio de la Llave",172,"Texistepec",0,"Total del Municipio","2746","4417","527","711","3969","845","5763","512","4678",6817,12.3954818835265,58.2220918292504,64.7938976089189,7.73067331670823,68.622561243949,7.51063517676397,"bajo"
"173",30,"Veracruz de Ignacio de la Llave",173,"Tezonapa",0,"Total del Municipio","7581","11362","1299","2261","9722","2333","15416","1753","12599",17868,13.0568614282516,54.4101186478621,63.5885381687934,7.26997985224983,70.5115289903738,9.81083501231251,"bajo"
"174",30,"Veracruz de Ignacio de la Llave",174,"Tierra Blanca",0,"Total del Municipio","18063","26524","6057","6141","26159","11601","30807","1082","17969",39168,29.6185661764706,66.7866625816993,67.718545751634,15.4641544117647,45.8767361111111,2.7624591503268,"alto"
"175",30,"Veracruz de Ignacio de la Llave",175,"Tihuatlán",0,"Total del Municipio","15868","22690","4594","5854","21196","7652","26204","1097","17433",30625,24.9861224489796,69.2114285714286,74.0897959183674,15.0008163265306,56.9240816326531,3.58204081632653,"medio"
"176",30,"Veracruz de Ignacio de la Llave",176,"Tlacojalpan",0,"Total del Municipio","879","1223","166","227","1169","383","1472","82","1030",1948,19.6611909650924,60.0102669404517,62.782340862423,8.52156057494867,52.8747433264887,4.20944558521561,"medio"
"177",30,"Veracruz de Ignacio de la Llave",177,"Tlacolulan",0,"Total del Municipio","1875","2312","210","152","1750","498","2821","169","2249",3508,14.1961231470924,49.8859749144812,65.9064994298746,5.98631698973774,64.1106043329532,4.8175598631699,"bajo"
"178",30,"Veracruz de Ignacio de la Llave",178,"Tlacotalpan",0,"Total del Municipio","3027","4019","820","939","3630","1415","4424","126","2856",5837,24.2419050882303,62.1894808977214,68.8538632859346,14.0483124892924,48.9292444749015,2.15864313859859,"medio"
"179",30,"Veracruz de Ignacio de la Llave",179,"Tlacotepec de Mejía",0,"Total del Municipio","877","1078","145","48","1055","153","1218","37","1000",1689,9.05861456483126,62.4629958555358,63.8247483718176,8.58496151568976,59.206631142688,2.19064535227946,"Muy bajo"
